"CSC NAME","DATE","CALL START","CALL END","DURATION","OUTCOME","EMAIL","LANGUAGE","NOTES","CATEGORY & TARGET AUDIENCE","FACILITY","ADDRESS","INDUSTRY","ATTEMPT #","IS FOLLOW-UP NEEDED / RECOMMENDED?","IF YES, BY WHAT DATE SHOULD FOLLOW-UP BE CONDUCTED?","Were materials emailed after the call?","If Yes, Please describe","PHONE","CITY OR ZIP"
"Cindy Mejia","7/21/2021",12:23:00,12:25:00,"0:02","No answer; left voicemail","amorin@fairmontschools.com","ENGLISH","school out for summer","EDUCATIONAL: Children","FAIRMONT SCHOOLS, INC.","2200 W Sequoia Ave","Private Elementary And Secondary Schools",NA,NA,NA,NA,NA,"7149995055","92801"
"Cindy Mejia","7/22/2021",10:21:00,10:22:00,"0:01","No answer; left voicemail","carol.espofiito@evisions.com","ENGLISH",NA,"CORPORATION: Employees","EVISIONS, INC.","440 Exchange Ste 200","Computer Software Development",2,"No",NA,"No",NA,"9498331384","92602"
"Cindy Mejia","7/22/2021",10:23:00,10:25:00,"0:02","Spoke with someone; they're not interested",NA,"ENGLISH","will pass our message to her boss,","CORPORATION: Employees","ULTIMATE KRONOS GROUP","240 Commerce","Business Oriented Computer Software",2,"No",NA,NA,NA,"8005807374","92602"
"Cindy Mejia","7/22/2021",10:26:00,10:28:00,"0:02","No answer; did not leave voicemail",NA,"ENGLISH","summer break/ no optiont to leave a VM","EDUCATIONAL: Children","IRVINE UNIFIED SCHOOL DISTICT","3700 Chaparral Ave","Public Elementary School",2,"Yes","after summer",NA,NA,"9499366300","92606"
"Cindy Mejia","7/22/2021",10:29:00,10:31:00,"0:02","No answer; left voicemail",NA,"ENGLISH","trasferred to HR, no answer letba voicemail","SMALL BUSINESS: Customers","GENERAL TOOL, INC.","2025 Alton Pkwy","Diamonds, Industrial: Natural, Crude",2,"No",NA,NA,NA,"9492612322","92606"
"Cindy Mejia","7/22/2021",10:32:00,10:33:00,"0:01","No answer; did not leave voicemail",NA,"ENGLISH","summer break","EDUCATIONAL: Children","IRVINE UNIFIED SCHOOL DISTICT","2 Paseo Westpark","Public Elementary School",2,"Yes","after summer",NA,NA,"9499365600","92614"
"Cindy Mejia","7/22/2021",10:35:00,10:36:00,"0:01","No answer; did not leave voicemail",NA,"ENGLISH","summer break/ operator on a loop, no option to leave a VM","EDUCATIONAL: Children","IRVINE UNIFIED SCHOOL DISTICT","50 Blue Lk S","Public Elementary School",2,"Yes","after summer",NA,NA,"9499365900","92614"
"Cindy Mejia","7/22/2021",10:38:00,10:41:00,"0:03","No answer; did not leave voicemail",NA,"ENGLISH","spoke to receptionist, she transferred me to HR, they never answered, call brought back back to main number (loop)","CORPORATION: Employees","ALORICA INC.","5161 California Ave # 100","Data Processing Service",2,"No",NA,NA,NA,"9495274600","92617"
"Cindy Mejia","7/22/2021",10:42:00,10:43:00,"0:01","Spoke with someone; they're interested","joeann.lomax@sheaproperties.com","ENGLISH","informatiolnal email will be sent, then see to proceed with meeting or not","CORPORATION: Employees","SHEA PROPERTIES MANAGEMENT COMPANY, INC.","130 Vantis Dr Ste 200","Nonresidential Building Operators",2,"No",NA,NA,NA,"9493897000","92656"
"Cindy Mejia","7/22/2021",10:45:00,10:47:00,"0:02","No answer; left voicemail",NA,"ENGLISH",NA,"SMALL BUSINESS: Customers","Entertainment Express","4467 Padua Ave","Event Planning",2,"No",NA,NA,NA,"9099468811","92629"
"Cindy Mejia","7/22/2021",10:55:00,11:07:00,"0:12","Spoke with someone; they're interested","schib@mhaoc.org","ENGLISH","interested, would like to learn more. Set up a 15 minute meeting","NON-PROFIT: Community Members","Mental Health Association","2416 S Main St B","Association",2,"No",NA,"Yes","confirmation email","7146681530","92629"
"Cindy Mejia","7/22/2021",11:15:00,11:18:00,NA,"No answer; left voicemail",NA,"ENGLISH","was transferred, no answer, left a VM","HEALTHCARE: Out-Patient","Orange County Children & Youth","405 W 5th St #590","Social Services Org",2,"Yes","2 weeks",NA,NA,"7148345015","92629"
"Cindy Mejia","7/22/2021",11:27:00,11:28:00,"0:01","Spoke with someone; they're not interested",NA,"SPANISH","don't  know who we previously spoke to but can't set up meeting","CORPORATION: Employees","Quality Inn & Suites","1170 Fairway Dr","Hotels",2,"No",NA,NA,NA,"9095949999","92629"
"Cindy Mejia","7/22/2021",11:30:00,11:32:00,"0:02","No answer; left voicemail",NA,"ENGLISH","got transferred to another department. no answer left a VM","NON-PROFIT: Community Members","Central WIC Office, Long Beach Health & Human Services","1133 Rhea St","Public Health Dept",2,"No",NA,NA,NA,"5625704000","92629"
"Cindy Mejia","7/22/2021",11:33:00,11:35:00,"0:02","Spoke with someone; they're interested","info@grandinn.net","SPANISH","said to email them, higher ups will look at email. He's just front desk and can't set up meeting","CORPORATION: Employees","Grand Inn","1000 S Euclid St","Hotels",2,"No",NA,NA,NA,"7148717200","92629"
"Cindy Mejia","7/22/2021",11:38:00,11:39:00,"0:01","No answer; left voicemail","lupe.barragan@longbeach.cov","SPANISH",NA,"NON-PROFIT: Community Members","Miller Family Health Education","3820 Cherry Ave,","Public Health",2,"No",NA,"No",NA,"5625707987","92629"
"Cindy Mejia","7/22/2021",11:49:00,11:52:00,"0:03","No answer; left voicemail",NA,"ENGLISH","got transferred, no answer","HEALTHCARE: In-Patient","Community Hosp Huntington Pk","2623 E Slauson Ave","General Medical And Surgical Hospitals",2,"No",NA,NA,NA,"3235831931","90255"
"Cindy Mejia","7/22/2021",11:53:00,11:55:00,"0:02","Spoke with someone; they're interested","c.marquez@prepatec.org","ENGLISH","to email principal, she would be the best point of contact","EDUCATIONAL: Young Adults","Prepa Tec Los Angeles","2665 Clarendon Ave","Elementary And Secondary Schools",2,"No",NA,"Yes","informational/ flyers","3238002739","90255"
"Cindy Mejia","7/22/2021",11:56:00,11:58:00,"0:02","Spoke with someone; they're interested","lucia_banuelos@ecsonline.org (emailed at 9:24 AM)","ENGLISH","not too sure what we were talking about but to resend information to the email we have on file","EDUCATIONAL: Young Adults","Environmental Chs - Lawndale","16315 Grevillea Ave","Private Junior High School",2,"No",NA,NA,NA,"3102143400","90260"
"Cindy Mejia","7/27/2021",10:01:00,10:02:00,"0:01","No answer; left voicemail",NA,"ENGLISH",NA,"CORPORATION: Employees","Trilinc Global LLC","1230 Rosecrans Ave # 605","Investment Advisory Service",2,"No",NA,NA,NA,"3109970580","90266"
"Cindy Mejia","7/22/2021",12:03:00,12:05:00,"0:02","Spoke with someone; they're interested","info@skechersdirect.com","ENGLISH","they can't make choice to set up 15 minute meeting. Just to send info again to their general email","CORPORATION: Employees","Sketchers","228 Manhattan Beach Blvd","Shoes, Rubber Or Plastic Molded To Fabric",2,"No",NA,"Yes","informational email","3103183100","90266"
"Cindy Mejia","7/22/2021",12:06:00,12:07:00,"0:01","No answer; left voicemail","mmartinez@mbusd.org (emailed at 10:01 AM)","ENGLISH","summer break","EDUCATIONAL: Young Adults","Mbusd","325 S Peck Ave","Public Elementary And Secondary Schools",2,"Yes","after summer","No",NA,"3103187345","90266"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"humanresources@pvestates.org","ENGLISH",NA,"CORPORATION: Employees","City Hall","340 Palos Verdes Dr W C","Legislative Bodies, Local Government",NA,NA,NA,NA,NA,"3103780383","90274"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"licciardello@pvpusd.net (emailed at 10:46 AM)","ENGLISH",NA,"EDUCATIONAL: Children","Rolling Hills Country Day Schl","26444 Crenshaw Blvd","Private Elementary School",NA,NA,NA,NA,NA,"3103774848","90274"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"childguidance@sbchc.com (emailed at 10:57 AM)","ENGLISH",NA,"NON-PROFIT: Community Members","South Bay Chld Hlth Ctr Assn","410 Camino Real","Dental Clinics And Offices",NA,NA,NA,NA,NA,"3103161212","90277"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"info@sbclinic.org","ENGLISH",NA,"HEALTHCARE: Out-Patient","South Bay Family Hlth Care Ctr","2114 Artesia Blvd","Psychological Consultant",NA,NA,NA,NA,NA,"3108026170","90278"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"mark@gjelinagroup.com","ENGLISH",NA,"CORPORATION: Employees","Gjelina","322 Sunset Ave","Family Restaurants",NA,NA,NA,NA,NA,"3104501429","90291"
"Cindy Mejia","7/26/2021",11:20:00,11:24:00,"0:04","Spoke with someone; they're interested","supervisor.Cook@bos.sbcounty.gov","ENGLISH","to email same email we have on file, will ask to set up 15 minutes via email, will also put call back number in there","CORPORATION: Employees","Human Resources Dept","157 W 5th St Fl 1","Administration Of Social And Human Resources",NA,NA,NA,NA,NA,"9093878304","92415"
"Cindy Mejia","7/26/2021",11:36:00,11:40:00,"0:04","Spoke with someone; they're not interested",NA,"ENGLISH","confused, will have someone call out outreach number back","EDUCATIONAL: Children","Bright Futures Academy LLC","9994 County Farm Rd","Academy",NA,NA,NA,NA,NA,"9517850504","92503"
"Cindy Mejia","7/26/2021",12:11:00,12:13:00,"0:02","Spoke with someone; they're interested","lowens@alvordschools.org (emailed at 9:55 am)","ENGLISH","Gave me District office number : (951)509-5030. Said to call them","EDUCATIONAL: Children","Alvord High School","3606 Pierce St","Public Senior High School",NA,NA,NA,NA,NA,"9513581715","92503"
"Cindy Mejia","7/26/2021",12:14:00,12:15:00,"0:01","No answer; left voicemail",NA,"ENGLISH","school out for summer break","EDUCATIONAL: Children","La Granada Elementary School","10346 Keller Ave","Public Elementary School",NA,NA,NA,NA,NA,"9513519261","92505"
"Cindy Mejia","7/26/2021",12:16:00,12:17:00,"0:01","Spoke with someone; they're not interested","contactus@pepboys.com (emailed at 10:33 am)","ENGLISH","person who answered said they cant ""do much"" and to email their general email. Same as","CORPORATION: Employees","Pep Boys","10831 Magnolia Ave","Automotive Parts",NA,NA,NA,NA,NA,"9513540100","92505"
"Cindy Mejia","7/26/2021",12:18:00,12:19:00,"0:01","No answer; left voicemail",NA,"ENGLISH","summer break","EDUCATIONAL: Children","Valley View Elementary School","11750 Gramercy Pl","Public Elementary School",NA,NA,NA,NA,NA,"9513581670","92505"
"Cindy Mejia","7/26/2021",12:20:00,12:21:00,"0:01","No answer; left voicemail","JaPerez@riversideunified.org (emailed at 10:46 am)","ENGLISH","summer break","EDUCATIONAL: Children","Pachappa Elementary School","6200 Riverside Ave","Public Elementary School",NA,NA,NA,NA,NA,"9517887355","92506"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"pmgr1@ilcac.org (emailed at 10:57 am)","ENGLISH",NA,"NON-PROFIT: Community Members","C A C","6848 Magnolia Ave Ste 150","Social Service Center",NA,NA,NA,NA,NA,"9512740358","92506"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,NA,"ENGLISH",NA,"EDUCATIONAL: Children","Castle View Elementary School","6201 Shaker Dr","Public Elementary School",NA,NA,NA,NA,NA,"9517887460","92506"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"mmerlan@imperialpipe.com","ENGLISH",NA,"CORPORATION: Employees","Imperial Pipe Services LLC","12375 Brown Ave","Steel Pipe And Tubes",NA,NA,NA,NA,NA,"9516823307","92509"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"ranchocs@burrtec.com","ENGLISH",NA,"CORPORATION: Employees","Marks Disposal","1850 Agua Mansa Rd","Garbage: Collecting, Destroying, And Processing",NA,NA,NA,NA,NA,"9516855516","92509"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"raquel@storylandstudios.com","ENGLISH",NA,"CORPORATION: Employees","Storyland Studios Inc","590 Crane St","Graphic Arts And Related Design",NA,NA,NA,NA,NA,"9516740998","92530"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,"kimberley@socalretailservices.com","ENGLISH",NA,"CORPORATION: Employees","Socal Retail Services","18345 Pasadena St","Janitorial Service, Contract Basis",NA,NA,NA,NA,NA,"9516749500","92530"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,NA,"ENGLISH",NA,"EDUCATIONAL: Children","River View Christian Academy","31500 Grape St Ste 3","Boarding School",NA,NA,NA,NA,NA,"8004942200","92532"
"Cindy Mejia","7/27/2021",NA,NA,"0:00",NA,NA,"ENGLISH",NA,"EDUCATIONAL: Children","Family Services Association","23270 Hemlock Ave","Child Day Care Services",NA,NA,NA,NA,NA,"9512433192","92557"
"John Wigginton","7/20/2021",11:06:00,11:08:00,"0:02","No answer; did not leave voicemail",NA,"ENGLISH","reopen 7/29","EDUCATIONAL: Children","NEWPORT MESA UNIFIED SCHOOL DISTRICT","6655 Ridge Park Rd","Public Elementary School",NA,"Yes","after 7/29",NA,NA,"9495156975","92657"
"John Wigginton","7/20/2021",11:13:00,11:15:00,"0:02","Spoke with someone; they're not interested","askhr@pimco.com","ENGLISH","HR asked who we spoke with, were not familiar, wanted to transfer","CORPORATION: Employees","PACIFIC INVESTMENT MANAGEMENT COMPANY LLC","650 Newport Center Dr","Money Market Mutual Funds",NA,NA,NA,NA,NA,"9497206000","92660"
"John Wigginton","7/20/2021",11:18:00,11:20:00,"0:02",NA,"Beth.Castro@alliance.com","ENGLISH","gave me a new email address","CORPORATION: Employees","ALLIANT INSURANCE SERVICES, INC.","1301 Dove St Ste 200","Business Consulting, Nec",NA,NA,NA,NA,NA,"9497560271","92660"
"John Wigginton","7/20/2021",11:22:00,11:24:00,"0:02",NA,"mhoyt@wrightlegal.net","ENGLISH","works remote, cannot receive calls","CORPORATION: Employees","WRIGHT, FINLAY & ZAK, LLP","4665 Macarthur Ct Ste 200","General Practice Attorney, Lawyer",NA,NA,NA,NA,NA,"9494775050","92660"
"John Wigginton","7/20/2021",11:28:00,11:30:00,"0:02","Spoke with someone; they're not interested","hr@thesteppingstonesgroup.com","SPANISH","""if they responded to email then use that contact, from HR hotline""","CORPORATION: Employees","STAFFREHAB","5000 Birch St","Rehabilitation Center, Outpatient Treatment",NA,NA,NA,NA,NA,"8888350894","92660"
"John Wigginton","7/20/2021",11:32:00,11:34:00,"0:02","Spoke with someone; they're not interested","hr@elevatedresources.com","SPANISH","will return call to email","CORPORATION: Employees","ELEVATED RESOURCES INC.","3990 Westerly Pl Ste 270","Data Processing And Preparation",NA,NA,NA,NA,NA,"9494196632","92660"
"John Wigginton","7/20/2021",11:39:00,11:41:00,"0:02","Spoke with someone; they're not interested","marija.salgado@ndlf.com","ENGLISH",NA,"CORPORATION: Employees","NEWMEYER & DILLION LLP","895 Dove St Fl 5","General Practice Attorney, Lawyer",NA,NA,NA,NA,NA,"9498547000","92660"
"John Wigginton","7/20/2021",11:43:00,11:47:00,"0:04","Spoke with someone; they're interested",NA,"ENGLISH","meeting scheduled","CORPORATION: Employees","BIG CANYON COUNTRY CLUB","1 Big Canyon Dr","Country Club, Membership",NA,NA,NA,NA,NA,"9496445404","92660"
"John Wigginton","7/20/2021",NA,NA,"0:00","Spoke with someone; they're not interested",NA,"ENGLISH",NA,"CORPORATION: Employees","HYATT CORPORATION","1107 Jamboree Rd","Hotels And Motels",NA,NA,NA,NA,NA,"9497291234","92660"
"John Wigginton","7/20/2021",NA,NA,"0:00",NA,"aleon@firesafetyfirst.com","ENGLISH",NA,NA,"THE BRETHREN INC","1170 E Fruit St","Fire Extinguishers",NA,NA,NA,NA,NA,"7148364800","92701"
"John Wigginton","7/20/2021",NA,NA,"0:00",NA,"emiramontes@ochca.com","ENGLISH",NA,NA,"ORANGE COUNTY HEALTH CARE AGENCY","405 W 5th St Ste 700","Health Association",NA,NA,NA,NA,NA,"7145685683","92701"
"John Wigginton","7/21/2021",10:04:00,10:06:00,"0:02","No answer; did not leave voicemail","ttorrez@salinascity.k12.ca.us","ENGLISH","did not answer","EDUCATIONAL: Children","SALINAS CITY ELEMENTARY SCHOOL DISTRICT","840 S Main St","Public Elementary And Secondary Schools",2,"Yes","7/29/2021",NA,NA,"8317535600","93901"
"John Wigginton","7/21/2021",10:07:00,10:09:00,"0:02","No answer; did not leave voicemail","dan.burns@salinasuhsd.org","ENGLISH","no answer","EDUCATIONAL: Young Adults","SALINAS UNION HIGH SCHOOL DISTRICT SCHOOL BUILDING CORPORATION","560 Iverson St","Public Junior High School",2,"Yes","7/29/2021",NA,NA,"8317967100","93901"
"John Wigginton","7/21/2021",10:13:00,10:20:00,"0:07",NA,"judyl@ci.salinas.ca.us","ENGLISH","very confused. took number said would call back","NON-PROFIT: Community Members","CITY OF SALINAS","65 W Alisal St Ste 210","Fire Department, Not Including Volunteer",2,"No",NA,NA,NA,"8317587261","93901"
"John Wigginton","7/21/2021",10:20:00,10:21:00,"0:01","Spoke with someone; they're not interested",NA,"ENGLISH",NA,NA,"WINDSOR CONVALESCENT AND REHABILITATION CENTER OF SALINAS, LLC","637 E Romie Ln","Convalescent Home With Continuous Nursing Care",2,"No",NA,NA,NA,"8314240687","93901"
"John Wigginton","7/21/2021",10:21:00,10:23:00,"0:02","Spoke with someone; they're not interested",NA,"ENGLISH","does not remember conversation, busy time of year",NA,"CHURCH BROTHERS, LLC","19065 Portola Dr Ste C","Fresh Fruits And Vegetables",2,"No",NA,NA,NA,"8317961000","93908"
"John Wigginton","7/21/2021",10:25:00,10:28:00,"0:03",NA,"annel.alanis@alisal.org","SPANISH","will not be back until monday","NON-PROFIT: Community Members","UNDER CONSTRUCTION EDUCATIONAL NETWORK, INC.","680 Las Casitas Dr","Public Elementary School",2,"Yes","7/26/2021",NA,NA,"8317535770","93905"
"John Wigginton","7/21/2021",10:30:00,10:33:00,"0:03",NA,"afuentes@santaritaschools.org","SPANISH","went to voicemail","NON-PROFIT: Community Members","SANTA RITA UNION SCHOOL DISTRICT","55 Rogge Rd","Public Elementary School",2,"Yes","7/29/2021",NA,NA,"8314437216","93906"
"John Wigginton","7/21/2021",NA,NA,"0:00",NA,"(831) 443-0200","ENGLISH",NA,NA,"SANTA RITA UNION SCHOOL DISTRICT","2014 Santa Rita St","Public Elementary School",NA,NA,NA,NA,NA,"8314437221","93906"
"John Wigginton","7/21/2021",10:35:00,10:36:00,"0:01","No answer; did not leave voicemail","jfausto@salinascity.k12.ca.us","ENGLISH","hung up immediately","NON-PROFIT: Community Members","SALINAS SCHOOL DISTRICT","1465 Modoc Ave","Public Elementary School",NA,NA,NA,NA,NA,"8317535675","93906"
"John Wigginton","7/21/2021",10:47:00,10:49:00,"0:02","Spoke with someone; they're not interested","73 Paloma Ave Salinas CA 93906","ENGLISH","hr did not remember call","HEALTHCARE: In-Patient","NATIVIDAD MEDICAL CENTER","1441 Constitution Blvd","General Medical And Surgical Hospitals",2,"No",NA,NA,NA,"8317554111","93906"
"John Wigginton","7/21/2021",NA,NA,"0:00",NA,"rdgadmin@windsorcares.com  ATTN Rachel Bruton","ENGLISH","meeting scheduled 7/25","HEALTHCARE: In-Patient","WINDSOR SKYLINE CARE CENTER, LLC","348 Iris Dr","Convalescent Home With Continuous Nursing Care",2,"No",NA,NA,NA,"8314495496","93906"
"John Wigginton","7/22/2021",09:42:00,09:44:00,"0:02",NA,"Ebrennan@esassoc.com","ENGLISH","tx straight vm","CORPORATION: Employees","Esa","550 Kearny St Ste 800","Environmental Research",2,"Yes","7/29/2021","No",NA,"4158965900","94108"
"John Wigginton","7/22/2021",09:46:00,09:48:00,"0:02","Spoke with someone; they're not interested","contactsf@bbdo.com","ENGLISH",NA,"CORPORATION: Employees","Bbdo","600 California St Fl 8","Advertising Consultant",2,"No","7/29/2021","No",NA,"4158086200","94108"
"John Wigginton","7/22/2021",09:53:00,09:55:00,"0:02","Spoke with someone; they're not interested","info@ddb.com","ENGLISH",NA,"CORPORATION: Employees","Ddb Worldwide","600 California St Fl 7","Advertising Consultant",2,"No",NA,NA,NA,"4157323600","94108"
"John Wigginton","7/22/2021",10:01:00,10:02:00,"0:01","No answer; did not leave voicemail",NA,"ENGLISH","straight vm","CORPORATION: Employees","Ketchum Incorporated","600 California St Fl 1","Public Relations And Publicity",2,"No",NA,NA,NA,"4159846100","94108"
"John Wigginton","7/22/2021",10:02:00,10:04:00,"0:02","No answer; did not leave voicemail","Stephanie@barrettsf.com","ENGLISH","straight vm","CORPORATION: Employees","Barrett SF","250 Sutter St Ste 200","Advertising Consultant",2,"No",NA,NA,NA,"4159862960","94108"
"John Wigginton","7/22/2021",10:07:00,10:09:00,"0:02","Spoke with someone; they're not interested","info@firstrepublic.com","ENGLISH","""do not have mental illness""","CORPORATION: Employees","First Republic Bank","111 Pine St Fl 2","Commercial Banks, Nec",NA,NA,NA,NA,NA,"4153921400","94111"
"John Wigginton","7/22/2021",10:29:00,10:31:00,"0:02","Spoke with someone; they're not interested","admin.milpitas@advantech.com","SPANISH",NA,"CORPORATION: Employees","Advantech","P O Box 45895","Computers, Peripherals, And Software",NA,NA,NA,NA,NA,"4085193800","94145"
