CSC.NAME,DATE,CALL.START.TIME,CALL.END.TIME,CALL.DURATION,OUTCOME,EMAIL..If.Interested.,SPANISH..Y.N.,NOTES,CATEGORY...TARGET.AUDIENCE,FACILITY,ADDRESS,INDUSTRY,PHONE,ZIP,,,,
Cindy Mejia,4/14/2021,9:38:00,9:41:00,3,No answer; left voicemail,NA,NA,"got transferred to HR, HR did not answer left a VM",NA,"WEST COAST INTERIORS, INC.",1610 W Linden St,Wallcovering Contractors,9517783592,92507,,,,
Cindy Mejia,4/14/2021,9:54:00,9:58:00,4,No answer; left voicemail,NA,NA,receptionist transffered me to HR,NA,"ONRAD, INC.",1770 Iowa Ave Ste 280,Radiologist,8008485876,92507,,,,
Cindy Mejia,4/14/2021,9:59:00,10:00:00,1,No answer; did not leave voicemail,NA,NA,"operator machine said, ""number that you have dialed is unallocated"" / couldn't fine a contact for them online",NA,SNAPWARE CORPORATION,2325 Cottonwood Ave,"Plastics Kitchenware, Tableware, And Houseware",9513613100,92508,,,,
Cindy Mejia,4/14/2021,10:03:00,10:05:00,2,Spoke with someone; they're not interested,NA,NA,wrong number,NA,RIVERSIDE UNIFIED SCHOOL DISTRICT,20202 Aptos St,Public Junior High School,9092762001,92508,,,,
Cindy Mejia,4/14/2021,10:10:00,10:12:00,2,Spoke with someone; they're interested,NA,NA,"receptionist answer, she will forward my number to social services, and they will call back",NA,MOUNT RUBIDOUX CONVALESCENT HOSPITAL,6401 33rd St,Convalescent Home With Continuous Nursing Care,9516812200,92509,,,,
Cindy Mejia,4/14/2021,10:16:00,10:18:00,2,No answer; left voicemail,NA,NA,2nd call.  voicemail ronp,SMALL BUSINESS: Customers,"HERMAN WEISSKER, INC.",1645 Brown Ave,Underground Utilities Contractor,9518268800,92509,,,,
Cindy Mejia,4/14/2021,10:19:00,10:22:00,3,Spoke with someone; they're interested,smcdowell@vistapacificaent.com,NA,NA,NA,"VISTA PACIFICA ENTERPRISES, INC.",3674 Pacific Ave,Convalescent Home With Continuous Nursing Care,9516824833,92509,,,,
Cindy Mejia,4/14/2021,10:27:00,10:30:00,3,No answer; did not leave voicemail,NA,NA,"this was actually the number for Riverside County ANIMAL SERVICES, they did not have a voicemail for me to leave a VM. all the extension numbers that the operator said were for animal services.",NA,COUNTY OF RIVERSIDE,4725 Troy Ct,"Administration Of Public Health Programs, County Government",9513587387,92509,,,,
Cindy Mejia,4/14/2021,10:47:00,10:47:00,0,No answer; did not leave voicemail,NA,NA,number has been disconnected,NA,DAYTON SUPERIOR CORPORATION,6001 20th St,Steel Wire And Related Products,9517829517,92509,,,,
Cindy Mejia,4/14/2021,10:51:00,10:54:00,3,No answer; left voicemail,NA,NA,"receptionist transferred me to HR, HR did not answer",NA,SIMPSON STRONG-TIE COMPANY INC.,12246 Holly St,"Structural Wood Members, Nec",7148718373,92509,,,,
Valeria Lazaro Rodriguez,4/14/2021,9:21:00,9:22:00,1,Spoke with someone; they're not interested,NA,NA,Number was for the Jurupa Valley Station,NA,COUNTY OF RIVERSIDE,7477 Mission Blvd,Sheriffs' Office,9519552600,92509,,,,
Valeria Lazaro Rodriguez,4/14/2021,9:27:00,9:28:00,1,No answer; did not leave voicemail,NA,NA,The number is from someone in Colorado.,NA,SKANSKA USA CIVIL WEST ROCKY MOUNTAIN DISTRICT INC.,1995 Agua Mansa Rd,Dam Construction,9705658000,92509,,,,
Valeria Lazaro Rodriguez,4/14/2021,9:35:00,9:36:00,1,No answer; left voicemail,NA,NA,"Spoke with receptionist, transferred me to HR. Left VM. Called back 5/20, transferred me again and left VM.",NA,SKANSKA USA CIVIL WEST CALIFORNIA DISTRICT INC.,1995 Agua Mansa Rd,"General Contractor, Highway And Street Construction",9516845360,92509,,,,
Valeria Lazaro Rodriguez,4/14/2021,9:45:00,9:46:00,1,Spoke with someone; they're not interested,NA,NA,NA,NA,"PACIFIC TANK LINES, INC.",5230 Wilson St Ste A,Gas Transmission And Distribution,9516801900,92509,,,,
Valeria Lazaro Rodriguez,4/14/2021,9:54:00,9:56:00,2,No answer; left voicemail,NA,NA,"Spoke with receptionist, transferred me to HR. Left VM. Called back 5/20, left VM again.",NA,THE PEGGS COMPANY INC,4851 Felspar St,Shopping Cart Repair,2535849548,92509,,,,
Valeria Lazaro Rodriguez,4/14/2021,10:17:00,10:19:00,2,Spoke with someone; they're not interested,NA,NA,Said they already have someone for counseling.,NA,JURUPA UNIFIED SCHOOL DISTRICT,4850 Pedley Rd,Public Elementary School,9513604100,92509,,,,
Valeria Lazaro Rodriguez,4/14/2021,10:19:00,10:20:00,1,Spoke with someone; they're not interested,NA,NA,"Number is for Camino Real Elementary School. Told me to contact the district, already did.",NA,JURUPA UNIFIED SCHOOL DISTRICT,4655 Camino Real,Public Elementary School,9513602714,92509,,,,
Valeria Lazaro Rodriguez,4/14/2021,10:22:00,10:23:00,1,Spoke with someone; they're not interested,NA,NA,"Number is for Rustic Lane Elementary School. Told me to contact the district, already did.",NA,JURUPA UNIFIED SCHOOL DISTRICT,6420 Rustic Ln,Public Elementary School,9512227837,92509,,,,
Valeria Lazaro Rodriguez,4/14/2021,10:28:00,10:28:00,0,No answer; did not leave voicemail,NA,NA,Found email online. Emailed at 10:28 AM,NA,COUNTY OF RIVERSIDE,4095 County Circle Dr,"Mental Health Agency Administration, Government",9513584500,92503,,,,
Valeria Lazaro Rodriguez,4/14/2021,10:55:00,10:56:00,1,Spoke with someone; they're not interested,NA,NA,Said they already have someone for counseling.,NA,CARPENTER CO.,7809 Lincoln Ave,"Insulation Or Cushioning Material, Foamed Plastics",9513547550,92504,,,,
Valeria Lazaro Rodriguez,4/15/2021,9:22:00,9:26:00,4,No answer; left voicemail,NA,NA,"Spoke to receptionist, got transferred to HR. Left VM. Called back 5/20, said they were not interested.",NA,HARVEST CHRISTIAN FELLOWSHIP INC,6115 Arlington Ave,Private Elementary School,9516876902,92504,,,,
Valeria Lazaro Rodriguez,4/15/2021,9:36:00,9:38:00,2,Spoke with someone; they're not interested,NA,NA,NA,NA,RIVERSIDE UNIFIED SCHOOL DISTRICT,3380 14th St,Public Elementary And Secondary Schools,9517887135,92501,,,,
Valeria Lazaro Rodriguez,4/15/2021,9:41:00,9:43:00,2,Spoke with someone; they're not interested,Choung (951) 565-5086,NA,Receptionist gave me HR number and transferred me. Said they already have a counseling service for their employees.,NA,RIVERSIDE TRANSIT AGENCY,1825 3rd St,Bus Transportation,9515655000,92507,,,,
Valeria Lazaro Rodriguez,4/15/2021,9:54:00,9:55:00,1,No answer; did not leave voicemail,NA,NA,"Wrong number, no answer",NA,ARMY & AIR FORCE EXCHANGE SERVICE,23640 N St,Army-Navy Goods Stores,9516533111,92518,,,,
Valeria Lazaro Rodriguez,4/15/2021,10:01:00,10:02:00,1,Spoke with someone; they're not interested,NA,NA,It is called Westmont Village. They said they alredy have a counseling service.,NA,"AIR FORCE VILLAGE WEST, INC.",17050 Arnold Dr,Convalescent Home With Continuous Nursing Care,9516972000,92518,,,,
Valeria Lazaro Rodriguez,4/15/2021,10:15:00,10:17:00,2,Spoke with someone; they're interested,NA,NA,Transferred me to HR and I left a VM,NA,"MCLANE FOODSERVICE, INC.",14813 Meridian Pkwy,"Groceries, General Line",9518673555,92518,,,,
Valeria Lazaro Rodriguez,4/15/2021,10:21:00,10:21:00,0,No answer; did not leave voicemail,NA,NA,Found email callcenter@riversideca.gov (Emailed at 10:21 AM),NA,CITY OF RIVERSIDE,3900 Main St Fl 7,City And Town Managers' Office,9518265311,92522,,,,
Valeria Lazaro Rodriguez,4/15/2021,10:28:00,10:29:00,1,No answer; left voicemail,NA,NA,"Called back afterr hearing VM, was not interested.",NA,PACIFIC CLAY PRODUCTS,14741 Lake St,Tile And Clay Products,6618571401,92530,,,,
Valeria Lazaro Rodriguez,4/15/2021,10:35:00,10:36:00,1,No answer; did not leave voicemail,NA,NA,Wrong number,NA,LAKE ELSINORE UNIFIED SCHOOL DISTRICT,520 Chaney St,Public Senior High School,9512537112,92530,,,,
Valeria Lazaro Rodriguez,4/15/2021,10:40:00,10:43:00,3,No answer; left voicemail,NA,NA,"Found direct HR email online, cara.quinn@leusd.k12.ca.us (Emailed at 10:40 AM)",NA,LAKE ELSINORE UNIFIED SCHOOL DISTRICT,545 Chaney St,Public Elementary School,9512537000,92530,,,,
Lilia Miranda,7/8/2021,11:13:00,11:14:00,1,No answer; left voicemail,NA,NA,2nd call. not interested ronp,NON-PROFIT: Community Members,CITY OF LAKE ELSINORE,130 S Main St,City And Town Managers' Office,9516743124,92530,,,,
Madison Sanders,4/15/2021,NA,NA,NA,NA,jhollowway@lakeelsinoreford.com,NA,2nd call.  interested ronp,CORPORATION: Employees,"LAKE ELSINORE FORD, INC.",31500 Auto Center Dr,"Automobiles, New And Used",9514714100,92530,,,,
Madison Sanders,4/15/2021,NA,NA,NA,NA,vfigueroa@aerofoams.com,NA,2nd call. interested ronp,CORPORATION: Employees,"AEROFOAM INDUSTRIES, INC.",31855 Corydon St,"Seats, Aircraft",9512454429,92530,,,,
Madison Sanders,4/15/2021,10:55:00,10:56:00,1,No answer; did not leave voicemail,NA,NA,2nd call. voicemail ronp,SMALL BUSINESS: Customers,"HAKES SASH & DOOR, INC.",31945 Corydon St,Window And Door Installation And Erection,9516742414,92530,,,,
Madison Sanders,4/15/2021,10:58:00,10:59:00,1,No answer; did not leave voicemail,kwu@evmwd.net,NA,2nd call.  interested. ronp,CORPORATION: Employees,ELSINORE VALLEY MUNICIPAL WATER DISTRICT,31315 Chaney St,Water Supply,9516743146,92530,,,,
Madison Sanders,4/15/2021,10:59:00,11:00:00,1,No answer; did not leave voicemail,NA,NA,2nd call. not interested ronp,EDUCATIONAL: Children,LAKE ELSINORE UNIFIED SCHOOL DISTRICT,33005 Canyon Hills Rd,Public Junior High School,9512442123,92532,,,,
Madison Sanders,4/15/2021,11:00:00,11:04:00,4,Spoke with someone; they're interested,NA,NA,Be well # was given client says they will reach out to us for more information,NA,CAHUILLA CREEK RESTAURANT AND CASINO INC,52702 US Highway 371,Gambling Establishment,9517631200,92539,,,,
Madison Sanders,4/15/2021,11:04:00,11:05:00,1,No answer; did not leave voicemail,NA,NA,2nd call.  closed til 7/26/21 ronp,EDUCATIONAL: Children,HEMET UNIFIED SCHOOL DISTRICT,57550 Mitchell Rd,Public Junior High School,9517631840,92539,,,,
Madison Sanders,4/15/2021,11:05:00,11:07:00,2,No answer; left voicemail,NA,NA,5/20/21 left another VM.,NA,"VALLEY RESOURCE CENTER FOR THE RETARDED, INC.",1285 N Santa Fe St,Vocational Training Agency,9517668659,92543,,,,
Madison Sanders,4/15/2021,11:07:00,11:10:00,3,Spoke with someone; they're not interested,NA,NA,NA,NA,"PHYSICIANS FOR HEALTHY HOSPITALS, INC.",1117 E Devonshire Ave,General Medical And Surgical Hospitals,9516522811,92543,,,,
Cindy Mejia,4/15/2021,11:19:00,11:22:00,3,No answer; left voicemail,NA,NA,the phone i called belonged to the finance department.,NA,CITY OF HEMET,445 E Florida Ave,Mayors' Office,9517652330,92543,,,,
Cindy Mejia,4/15/2021,11:24:00,11:31:00,7,No answer; left voicemail,NA,NA,receptionist placed me on hold. HR was busy she told me sho could relay the message. I agve a call back number and email for more information on CalHope.org,NA,"MIRAMONTE ENTERPRISES, LLC",275 N San Jacinto St,Skilled Nursing Care Facilities,9516589441,92543,,,,
Cindy Mejia,4/15/2021,11:33:00,11:38:00,5,Spoke with someone; they're interested,lsalinas@hemetusd.org,yes (and english),"Super excited about CalHope. Wants more info and flyers to give to school psychologist, parent liasons, MFTs in the disctrict/",NA,HEMET UNIFIED SCHOOL DISTRICT,400 W Whittier Ave,Public Elementary School,9517651650,92543,,,,
Cindy Mejia,4/15/2021,11:40:00,11:44:00,4,No answer; left voicemail,NA,NA,2nd call. voicemail ronp,HEALTHCARE: Out-Patient,"RAMONA REHABILITATION AND POST ACUTE CARE, INC.",485 W Johnston Ave,General Medical And Surgical Hospitals,9516520011,92543,,,,
Cindy Mejia,4/15/2021,11:46:00,11:47:00,1,Spoke with someone; they're not interested,NA,NA,gave me the number for their HR instead,NA,RAMONA COMMUNITY SERVICES CORPORATION,890 W Stetson Ave Ste A,Visiting Nurse Service,9516589288,92543,,,,
Cindy Mejia,4/15/2021,11:49:00,11:52:00,3,Spoke with someone; they're interested,avillalpando@hemetusd.org,yes (english too),would like flyers in both languages to print and place on school grounds,NA,HEMET UNIFIED SCHOOL DISTRICT,451 W Chambers Ave,Public Elementary School,9519254366,92543,,,,
Cindy Mejia,4/15/2021,11:54:00,11:58:00,4,No answer; left voicemail,NA,NA,2nd call. not interested ronp,NON-PROFIT: Community Members,LAKE HEMET MUNICIPAL WATER DISTRICT,26385 Fairview Ave,Water Supply,9516583241,92544,,,,
Cindy Mejia,4/15/2021,12:00:00,12:02:00,2,Spoke with someone; they're interested,jhenry@hemetusd.org,NA,front desk answered the phone. said to email school counselor with information,NA,HEMET UNIFIED SCHOOL DISTRICT,441 N Lake St,Public Elementary School,9519270822,92544,,,,
Cindy Mejia,4/15/2021,12:05:00,12:07:00,2,No answer; did not leave voicemail,NA,NA,the phone call got cut. So i went online and found the school email. I sent information over,NA,HEMET UNIFIED SCHOOL DISTRICT,2800 W Fruitvale Ave,Public Elementary School,9517651680,92545,,,,
Cindy Mejia,4/16/2021,11:29:00,11:33:00,4,No answer; left voicemail,NA,NA,got transferred twice in attempt to connect me with social services. they did not answer,NA,"CASA-PACIFICA, INC",2200 W Acacia Ave Ofc,Geriatric Residential Care,9516583369,92545,,,,
Cindy Mejia,4/16/2021,11:34:00,11:35:00,1,No answer; left voicemail,NA,NA,got transferred to social services again. no answer,NA,"CASA-PACIFICA, INC",2400 W Acacia Ave,Aged Home,9517665116,92545,,,,
Cindy Mejia,4/16/2021,11:36:00,11:40:00,4,No answer; did not leave voicemail,NA,NA,"transferred to HR, and HR did not answer. Voicemail machine said call woould not be returned in no teacher I.D. was left in message. (i dont have a teacher I.D.)",NA,HEMET UNIFIED SCHOOL DISTRICT,1791 W Acacia Ave,Public Elementary And Secondary Schools,9517655100,92545,,,,
Cindy Mejia,4/16/2021,11:43:00,11:46:00,3,No answer; left voicemail,NA,NA,receptionist transferred me to Social Services,NA,"HCR MANORCARE MEDICAL SERVICES OF FLORIDA, LLC",1717 W Stetson Ave,Convalescent Home With Continuous Nursing Care,9519259171,92545,,,,
Cindy Mejia,4/16/2021,11:48:00,11:49:00,1,No answer; did not leave voicemail,NA,NA,"called, the operator answered. Waited for all options to be said. I did not hear a HR department, only directory by name. I waited on the line, but the same message replayed again",NA,"MCCROMETER, INC.",3255 W Stetson Ave,Process Control Instruments,9516526811,92545,,,,
Cindy Mejia,4/16/2021,11:51:00,11:53:00,2,No answer; left voicemail,NA,NA,"transferred to HR. HR did not answer, left a VM",NA,"RAMKO INJECTION, INC.",3500 Tanya Ave,"Blow Molded Finished Plastics Products, Nec",9516523510,92545,,,,
Cindy Mejia,4/16/2021,11:55:00,12:03:00,8,Spoke with someone; they're interested,Miriam Ortiz:  mortiz@hemetusd.org,yes (and english),called a middle school parent liason. She gave me the email and phone number to their Parent Resource Center that could spread awreness to the whool district. PLus she gave me a number to another parent liason in another school district.,NA,HEMET UNIFIED SCHOOL DISTRICT,985 N Cawston Ave,Public Elementary And Secondary Schools,9517656287,92545,,,,
Cindy Mejia,4/16/2021,12:06:00,12:11:00,5,No answer; left voicemail,NA,NA,"transferred twice, finally reached the community liason,  no answer",NA,ROMOLAND SCHOOL DISTRICT,25900 Leon Rd,Public Elementary And Secondary Schools,9519269244,92548,,,,
Cindy Mejia,4/16/2021,12:13:00,12:15:00,2,No answer; left voicemail,NA,NA,2nd call. voicemail ronp,EDUCATIONAL: Children,MORENO VALLEY UNIFIED SCHOOL DISTRICT,15150 Lasselle St,Public Senior High School,9515714300,92551,,,,
Cindy Mejia,4/16/2021,12:21:00,12:23:00,2,No answer; left voicemail,NA,NA,2nd call. voicemail ronp,EDUCATIONAL: Young Adults,RIVERSIDE COMMUNITY COLLEGE DISTRICT,16130 Lasselle St,Community College,9515716103,92551,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:04:00,9:05:00,1,Spoke with someone; they're not interested,NA,NA,NA,NA,CARDINAL GLASS INDUSTRIES INC,24100 Cardinal Ave,Flat Glass,9514859007,92551,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:08:00,9:10:00,2,Spoke with someone; they're interested,NA,NA,Said to email contactus@moval.org (emailed at 9:10 AM),NA,CITY OF MORENO VALLEY,14177 Frederick St,"Executive Offices, Local Government",9514133000,92553,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:12:00,9:13:00,1,Spoke with someone; they're not interested,NA,NA,They already have their own counseling service,NA,KAISER FOUNDATION HOSPITALS,12815 Heacock St,"Trusts, Nec",9516016174,92553,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:16:00,9:16:00,0,No answer; did not leave voicemail,NA,NA,Found direct HR email rromero2@mvusd.net (emailed at 9:16 AM),NA,MORENO VALLEY UNIFIED SCHOOL DISTRICT,25634 Alessandro Blvd,Public Elementary And Secondary Schools,9515717500,92553,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:19:00,9:20:00,1,Spoke with someone; they're interested,NA,NA,"Rainbow Springs Elementary School in Moreno Valley District. Said to speak to the district, I alread emailed them.",NA,MORENO VALLEY UNIFIED SCHOOL DISTRICT,23990 Eucalyptus Ave,Public Elementary And Secondary Schools,9515714710,92553,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:21:00,9:22:00,1,No answer; did not leave voicemail,NA,NA,"Sunnymeadows Elemntary School at Moreno Valley District. I already emailed the district. Kept ringing,",NA,MORENO VALLEY UNIFIED SCHOOL DISTRICT,23200 Eucalyptus Ave,Public Elementary School,9515714690,92553,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:23:00,9:24:00,1,Spoke with someone; they're not interested,NA,NA,NA,NA,SUPREME CORPORATION,22135 Alessandro Blvd,Truck Bodies (motor Vehicles),9516566101,92553,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:25:00,9:26:00,1,Spoke with someone; they're not interested,NA,NA,They have their own counseling services,NA,"COMMUNITY HEALTH SYSTEMS, INC.",22675 Alessandro Blvd # 1,Primary Care Medical Clinic,9515712300,92553,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:30:00,9:31:00,1,No answer; left voicemail,NA,NA,"Found email online info@unitedmh.com (emailed at 9:32 AM). Called back 5/20, they are not interested)",NA,"UNITED MATERIAL HANDLING, INC.",23900 Brodiaea Ave,Materials Handling Machinery,9516574900,92553,,,,
Valeria Lazaro Rodriguez,4/16/2021,9:58:00,9:59:00,1,No answer; did not leave voicemail,NA,NA,Line was busy? Kept making disconnected noise,NA,COUNTY OF RIVERSIDE,14310 Frederick St,"Air, Water, And Solid Waste Management, County Government",9094863200,92553,,,,
Madison Sanders,4/16/2021,11:28:00,11:29:00,1,No answer; did not leave voicemail,NA,NA,2nd call. voicemail ronp,EDUCATIONAL: Young Adults,MORENO VALLEY UNIFIED SCHOOL DISTRICT,13135 Nason St,Public Senior High School,9515714850,92555,,,,
Madison Sanders,4/16/2021,11:29:00,11:31:00,2,Spoke with someone; they're not interested,NA,NA,NA,NA,MORENO VALLEY UNIFIED SCHOOL DISTRICT,14745 Willow Grove Pl,Public Elementary School,9515714740,92555,,,,
Madison Sanders,4/16/2021,11:31:00,11:33:00,2,No answer; did not leave voicemail,NA,NA,Continued to loop back to Customer service,NA,"TARGET STORES, INC.",41040 California Oaks Rd,"Department Stores, Discount",9516967527,92562,,,,
Madison Sanders,4/16/2021,11:33:00,11:36:00,3,No answer; left voicemail,NA,NA,5/20/21 Left aditional VM,NA,FIRST AMERICAN CARD SERVICE INC,25060 Hancock Ave Ste 103,Credit Card Service,9516778720,92562,,,,
Madison Sanders,4/16/2021,11:36:00,11:38:00,2,Spoke with someone; they're not interested,NA,NA,NA,NA,SOUTHWEST HEALTHCARE SYSTEM AUXILIARY,25500 Medical Center Dr,General Medical And Surgical Hospitals,9516966000,92562,,,,
Madison Sanders,4/16/2021,11:38:00,11:40:00,2,Spoke with someone; they're not interested,NA,NA,"be well phone was given, client would like to contact us if they decdide they are interested",NA,"RANCHO PHYSICAL THERAPY, INC.",24630 Washington Ave # 200,Physical Therapist,9516969353,92562,,,,
